lms_logins_per_week,avg_submission_delay_days,attendance_percentage,inactivity_gap_days,night_activity_ratio,study_time_variance,sentiment_score,feedback_negativity_flag,past_sem_gpa,gpa_drop_rate,burnout_level,dropout_probability,disengagement_flag
47,0.08,50.73770902810006,4,0.1318882492647179,0.32553787709113563,-0.01728956144694571,0,7.107115940292832,0.39,High,0.3,0
62,3.66,79.82170833474297,2,0.08757890792218763,1.4309407859471157,0.0618416537807287,0,8.658028345040101,0.07,High,0.34,0
51,1.19,99.44572933236279,11,0.37902491603565264,0.3879299834439536,-0.48780937053574824,1,6.073523503399029,0.02,Low,0.17,1
55,2.03,89.407213868224,2,0.1959969695787695,0.5885330303232484,-0.7532591983088233,1,5.120941320001638,0.08,Medium,0.29,0
64,0.5,84.74446819308417,6,0.11327689955086481,0.8251811200101773,-0.2735925702533035,1,7.8368079199260645,0.35,Low,0.22,0
3,2.26,52.482799255976154,2,0.16548931478099596,0.2766530934381721,-0.14183356175576511,0,7.86442475240799,0.35,High,0.42,0
51,2.96,92.56838708104044,3,0.18472894383627184,0.9310061708185154,-0.8949164419929958,1,5.226085679535213,0.11,Medium,0.32,0
7,1.28,71.54733061213278,6,0.3755000825762752,0.3557499292246269,0.12927968045481197,0,4.41610026182355,0.13,Low,0.25,0
21,1.92,93.35740132431734,13,0.10480890015301829,1.3927148083334249,-0.9959786664326409,1,4.998706923369882,0.27,Medium,0.26,1
73,1.22,59.78966976549276,2,0.4396822590694334,1.3441465870594065,-0.6976540921196581,1,5.653163775316539,0.14,High,0.41,0
39,4.49,43.72306315812597,9,0.18292936084759204,0.8621955994426569,-0.7060808053272671,1,4.217668720034137,0.36,High,0.71,1
18,1.38,68.55855811958477,9,0.2929857543790681,0.7292668485754695,0.37510918899523604,1,9.53638955582279,0.32,Low,0.37,1
4,3.69,56.190256289072664,12,0.39290340592026085,0.2436426769822708,-0.02821652918448736,0,5.38301956208687,0.14,High,0.48,1
60,3.23,82.91375738657788,1,0.3261720643168618,1.252620277356303,0.6720726182813996,1,8.43351525992874,0.39,High,0.4,0
14,1.06,97.42639317136195,9,0.3973401251729834,0.6311181381063118,-0.4703027116679732,0,6.487945073203629,0.3,Low,0.08,1
9,0.52,81.45844906909383,6,0.19355730230100754,0.44485364775661795,-0.5788512417207408,0,7.011902938283773,0.3,Low,0.14,0
53,1.04,93.21603578255221,14,0.5780699515590001,1.4934172266143777,0.6057901812433053,0,7.221656661790034,0.38,Low,0.1,1
2,3.5,67.18144081607238,4,0.27539383296536063,1.0356163772579354,-0.11159182898920972,0,8.636774819421687,0.17,High,0.41,0
60,0.52,86.2984442317181,0,0.19316016587903076,0.20340765170044844,-0.451538732857522,0,8.72747825967214,0.02,Low,0.11,0
71,1.49,90.58260620030221,11,0.17783637674256364,1.2218139860674084,-0.16348040682306442,1,4.84763763557651,0.4,Low,0.25,1
44,3.28,82.65253765501254,9,0.025616981793988924,1.1505632097173575,-0.1494529504718618,1,5.820060637395829,0.37,High,0.4,1
8,0.87,70.46663716417387,12,0.4108835214134489,0.661680357863076,0.144215315915861,1,7.43823290257216,0.39,Low,0.33,1
47,2.06,77.55196657692208,7,0.15750916628638229,0.2731649609253396,-0.9246673396721043,1,5.98243645413028,0.19,Medium,0.36,0
35,0.56,82.03041974073281,2,0.575358123793546,0.7964228575482913,-0.504101923335573,0,4.796795824738603,0.07,Low,0.14,0
78,0.23,55.18506419328561,10,0.126266847226075,1.16864648199128,-0.0662118316226794,1,6.450605427388009,0.08,High,0.38,1
36,3.16,88.57475565489909,6,0.3176947162112224,0.20642065387195563,0.08458613287426786,1,5.3105436013241505,0.19,High,0.36,0
50,0.21,97.0194723380364,5,0.44128241990065453,0.3288180073552443,-0.6824887885462871,1,4.860843138798801,0.27,Low,0.13,0
4,0.63,67.91435891079615,9,0.5220691768926043,0.966496648560692,-0.6127551436675254,0,5.82416999619713,0.19,Low,0.23,1
2,3.86,82.06403098659264,11,0.09387653569333584,0.883362632801888,0.4552058438275066,1,5.798129339774599,0.16,High,0.44,1
6,0.85,84.22155434742123,12,0.59124092429822,1.3671227465301807,0.5711143225307149,0,4.58318408883281,0.39,Low,0.15,1
54,7.23,79.73485285128882,14,0.5440493911906091,1.24070905830682,-0.849715009335146,0,7.504704987790729,0.26,High,0.56,1
4,7.8,72.82690649971813,13,0.5777098597365193,1.3863616688223084,0.9801601359404852,1,5.886062390587754,0.16,High,0.73,1
54,0.62,92.89887727448863,5,0.5116024557249838,0.7523423248421319,-0.13375229738270455,0,5.03972285053549,0.28,Low,0.08,0
63,0.08,66.93560255613366,12,0.5266015368201388,1.202921120493781,0.17150187745521084,1,8.911582855280745,0.32,Low,0.3,1
18,2.44,43.666177389196214,14,0.35929734954789777,0.16820346398180835,0.18730172919686705,1,4.015453979942372,0.15,High,0.58,1
44,1.2,90.67338254272961,14,0.5071860378704294,0.5122885431041261,-0.30795647837589235,1,6.725748660979214,0.19,Low,0.23,1
34,0.21,80.43887633899304,12,0.32040801471797825,1.001981422907043,0.08958122081461739,0,6.609675973819123,0.26,Low,0.13,1
74,2.46,90.9555175899788,7,0.32293030236789894,1.1691574191450256,0.16680415880225996,1,8.026895181912241,0.26,Medium,0.3,0
62,0.06,48.312846546681655,12,0.33754805514059555,0.8986893603123535,0.5215256275213895,1,6.336399454035529,0.07,High,0.41,1
14,4.08,41.84517643058298,12,0.5977907549418321,0.7730300019200383,0.3235848604088072,1,7.076297684980814,0.2,High,0.69,1
48,0.3,96.06247242295008,11,0.06263690408257373,0.4265723260431127,-0.10664576255938596,1,9.450707161422638,0.1,Low,0.14,1
15,0.27,48.86369835103446,12,0.4833659870974919,0.3438614633400255,-0.6173387765505567,1,5.00969426143945,0.37,High,0.42,1
72,0.39,88.5791399242271,14,0.16398751387330054,1.3256753298505213,-0.9496799588621625,1,4.633046286451687,0.2,Low,0.19,1
78,6.45,89.39259653083815,3,0.21673624955864537,0.2990970982881568,0.3037078006589511,0,8.480549960816134,0.31,High,0.45,0
62,2.36,82.52231203294018,3,0.0483199543836168,0.709401852408386,-0.044590264063933516,0,8.457409601966424,0.02,Medium,0.25,0
40,3.23,47.87573266557226,11,0.21094426883044173,1.343873764403109,0.9310495150987363,0,9.51787305570954,0.15,High,0.51,1
80,1.01,80.04391747364846,2,0.5944576182820249,0.30679683096115173,-0.8033662683266121,1,9.898942399197686,0.06,Low,0.28,0
53,0.82,93.34519499961195,0,0.23824155709682127,0.2785647058984583,-0.854753601800071,0,6.3063142722072145,0.16,Low,0.09,0
24,0.53,65.53189868805299,13,0.401812751983348,1.0695127008794372,-0.6374430442692831,1,6.2645632215757,0.32,Low,0.34,1
26,1.31,64.81101126271594,9,0.07242791289692271,0.5642054275368051,-0.2463322462245796,0,9.427945590210914,0.37,Low,0.29,1
60,1.61,66.57149857476514,2,0.5534983258492062,0.7099885035154332,-0.6496506536940627,0,9.16426907187828,0.37,Medium,0.3,0
41,2.0,44.936313440572384,14,0.49664722796807925,0.9758308507406603,-0.07230782459473306,0,6.252644269426986,0.05,High,0.45,1
29,0.59,93.52153414179841,0,0.2317765825181679,0.6305661581812614,-0.3205841486351386,1,4.457778826503828,0.12,Low,0.17,0
15,5.94,92.15097183883063,5,0.2090779996036593,1.2197780110990584,0.9989859637831602,0,7.487344250989536,0.26,High,0.4,0
45,0.37,99.87455930741717,7,0.2593602021081068,1.4565785340436188,0.933406312400394,0,5.61219968221321,0.08,Low,0.02,0
65,6.74,75.1109884899048,2,0.2407549097126992,1.4062851175537558,-0.27036822126367666,1,9.451569247235007,0.02,High,0.65,0
71,0.03,85.07149818708314,13,0.1548304828487348,0.8636328067759523,0.5841989098465421,1,8.836703458095513,0.38,Low,0.19,1
9,1.31,52.16031437843828,11,0.5945077644996076,0.596743136953261,-0.5167046725587878,0,9.405841617106857,0.13,High,0.37,1
1,0.81,80.05172909345018,3,0.48632787342284334,0.7072252304497523,-0.8845067193360445,1,4.485484004845846,0.17,Low,0.27,0
8,1.19,78.98397092544344,4,0.16075395570453008,0.5622190366795758,-0.9190239066292007,0,9.18767694938467,0.11,Low,0.2,0
63,1.69,94.07252415049675,6,0.5890348806161573,0.7184138924665383,-0.9416458263683232,0,7.558515301319311,0.13,Medium,0.14,0
11,1.14,89.84756337034445,11,0.009318082828127582,0.11816218768846581,0.471870282948758,1,5.292558537312345,0.39,Low,0.23,1
8,1.07,96.30798775706579,10,0.2627385820376504,0.17730013886143364,-0.3155546514298846,0,5.807572778847553,0.08,Low,0.09,1
35,2.64,92.13000836209645,5,0.3416911182367305,1.1798718516639346,0.6476698130948733,1,6.739810766233882,0.2,Medium,0.31,0
35,2.32,92.12163369393112,1,0.02255197326698679,0.5687382793161136,0.747667872483651,0,7.765863971442485,0.26,Medium,0.19,0
33,3.58,43.823399601323096,6,0.09662231442228084,1.2121687027060317,-0.38898941892493255,0,5.396365278877456,0.09,High,0.55,0
5,0.58,90.75771716175736,7,0.15487864931117815,0.7719219569353414,-0.4217127864872987,1,5.242256011880207,0.29,Low,0.19,0
41,1.88,76.44870367018709,13,0.4321362346237758,1.2282843774735859,-0.3841438962662622,0,9.352964248607936,0.27,Medium,0.25,1
28,1.76,62.82666710595767,11,0.5638461173191652,1.029018383425432,-0.049102602956574426,0,9.071332332784522,0.38,Medium,0.33,1
7,0.92,43.390877463283736,13,0.37472105212075896,0.3814017160658193,-0.9681104913252281,1,8.600661007037203,0.18,High,0.49,1
73,1.33,80.6604264860828,0,0.33759695460617517,0.7268115696101627,-0.9783146341350559,1,8.565344386218353,0.15,Low,0.3,0
72,0.75,59.69210503225705,5,0.32205547198547824,1.0860654046455833,0.47095199926905207,1,8.595843183454432,0.14,High,0.39,0
12,0.31,68.06657589916209,10,0.210422189886601,0.5628638911142262,0.616416742678815,0,9.544598884842078,0.15,Low,0.21,1
34,0.48,80.90370622330806,8,0.4966286076823183,0.37062306569956605,-0.5917455744928355,1,9.062322369511456,0.02,Low,0.24,1
33,0.22,94.70647282144857,6,0.3244604629417555,0.8558052921546131,0.1877541298765324,1,6.331445269340273,0.09,Low,0.14,0
48,2.3,89.52621493629991,4,0.13806190759423362,0.4831074151774749,-0.5679844030559769,1,6.827814883210352,0.05,Medium,0.3,0
23,2.16,67.03582774621599,12,0.08209872489844687,0.9320790311629488,0.4684268256526123,1,7.627379618182186,0.35,Medium,0.43,1
62,6.02,63.26698944678273,13,0.5913075089171215,0.48042816185646264,-0.1589655716954943,1,6.853598227237003,0.02,High,0.68,1
37,2.62,54.38678433064285,9,0.010483929013201098,1.3692109359232525,0.6455096271812779,0,5.781622364836414,0.15,High,0.43,1
44,0.11,62.34560507055809,10,0.560064017993883,0.5814628177191561,0.8970790118176633,0,9.166900471094861,0.09,Low,0.23,1
35,4.31,46.6627832375139,9,0.13098198070818656,1.3704305635905465,0.11090391077958905,0,8.820695316230532,0.26,High,0.58,1
65,3.97,98.26633050188528,8,0.3945297196089886,0.4912745312260557,0.8013350357684084,0,6.339156401664253,0.13,High,0.25,1
47,1.17,74.43504663757474,1,0.18091951535887876,0.9462363407199853,-0.9324175627541436,0,4.687999607831337,0.01,Low,0.22,0
78,1.76,47.66835056771277,6,0.5158862471278893,0.282305708413664,-0.07461745053275459,0,4.029217386658531,0.36,High,0.42,0
3,7.47,61.16836055595435,8,0.32606719330896505,1.1897205867505056,0.006991342000155498,1,4.55467677239232,0.25,High,0.78,1
1,1.52,72.82234861723936,14,0.08463465358903745,0.3803048057593452,-0.1683748413545727,0,4.9284590937466835,0.0,Medium,0.25,1
5,4.71,71.97313819845218,1,0.16190100026946028,1.3096288163243288,-0.3703154565639357,1,7.946745275893711,0.27,High,0.55,0
14,0.17,42.13020212311794,12,0.19219114414185567,0.7334242493917339,0.44592425912938194,1,5.317672538830463,0.09,High,0.46,1
27,0.42,97.05046205374668,10,0.5315534186340585,0.2323553764592781,0.10536443901136683,1,7.808952850493757,0.39,Low,0.14,1
9,1.16,56.52254088849668,9,0.4600430512236115,0.6089538572017554,-0.8351672213704351,1,5.96993495011631,0.18,High,0.43,1
79,1.76,40.97108013591347,5,0.4977523875665203,1.1916162957434653,0.9014250038097917,0,9.37031599060657,0.09,High,0.46,0
15,3.39,44.58664053701695,14,0.03135131270487148,0.20681297017981926,0.7750345885278451,0,6.814459426378059,0.01,High,0.54,1
42,8.89,74.81169419487861,8,0.34726932328395815,0.9760207996465204,-0.2930633019120761,0,8.037101685820144,0.02,High,0.68,1
77,0.98,48.26713124050581,14,0.5995061583087878,0.8101727115254705,-0.507606214453479,0,6.765681205482858,0.02,High,0.37,1
51,0.1,42.503487571210194,13,0.4711197834319885,0.5338174502411812,0.2569440217673289,1,9.475232808356797,0.01,High,0.45,1
63,3.23,62.77758798476268,2,0.0724246088339487,1.157864335820178,-0.9133847794998835,0,8.124464090464585,0.22,High,0.42,0
52,1.85,77.36567154041131,7,0.4072909004444092,0.17341703269970798,-0.008012786231996083,1,7.852950642982787,0.34,Medium,0.35,0
4,0.44,46.710388290496745,13,0.4471942925371099,0.7966985628751919,0.34525068173943096,0,7.553805320924905,0.14,High,0.35,1
23,1.37,58.79966992907893,4,0.30854901355284514,0.8096084019258482,-0.1866294747764412,1,9.931669120218974,0.14,High,0.43,0
15,2.71,65.06564029747253,6,0.0472518886640652,0.22096858157253796,0.9445830929757968,0,8.10854610708396,0.04,Medium,0.37,0
43,2.94,49.56760586720603,12,0.020811741123814165,0.29043181305917976,0.4377298608513098,0,8.524841097606757,0.0,High,0.48,1
29,1.38,70.36443390800261,11,0.5626858183436102,0.673516170451814,0.8681335090743689,1,4.49027206784414,0.38,Low,0.36,1
36,0.73,45.11284521410626,2,0.15450837928717115,0.8511315303698876,0.8157823916028097,0,8.885335063533816,0.18,High,0.37,0
13,7.28,42.79110978070412,7,0.22738087621107003,0.1744736661349894,-0.736605680298186,0,7.580300116417486,0.29,High,0.78,0
32,2.18,71.19012202930809,1,0.47716652459130293,0.11645912789804652,0.33725843283974855,0,6.019971583393067,0.35,Medium,0.3,0
71,1.05,54.873818365052536,12,0.41355644803046593,0.36964592936258467,0.19337446818549253,1,7.4901427036938975,0.04,High,0.43,1
59,0.66,45.72242847388165,7,0.581139420020601,0.7829332560188288,-0.8903385412811307,0,7.753300788490877,0.11,High,0.37,0
28,2.63,65.43475524925793,1,0.055703520126700524,0.15639019499288914,-0.36422579520157305,1,5.561136724522895,0.2,Medium,0.47,0
66,0.55,94.90844437104369,6,0.42415174444753634,1.1265294990701296,0.0691570321313919,1,6.622388028553466,0.12,Low,0.16,0
42,0.38,83.4515467992493,1,0.049337311666601734,0.3126994554614014,0.09630902200908964,0,8.328084442993328,0.02,Low,0.12,0
45,1.51,88.93695492082165,6,9.92979006867678e-05,1.1816556318492928,0.6281552925764209,0,5.355088333122164,0.36,Medium,0.16,0
62,0.68,92.3148393255182,0,0.07213813571264842,0.38662675141197733,0.17527496157685252,1,9.016752027625731,0.1,Low,0.19,0
57,1.98,98.35766448378513,5,0.37003550896754234,0.5852672508142828,-0.06698702504475373,0,4.4651590613522405,0.03,Medium,0.13,0
6,0.25,85.79479441085039,9,0.40571564974646485,0.7707301268296565,0.5039188014779894,1,7.487306665583317,0.17,Low,0.2,1
28,2.13,76.50447531636878,6,0.26300392344575046,0.5861790926976045,0.1417799375661597,1,6.278120706051443,0.32,Medium,0.37,0
28,0.67,61.92555281813483,3,0.02764242584245453,0.13306712007361235,0.7675132007891017,1,4.319880406607242,0.07,Low,0.37,0
44,0.0,50.89859419346297,10,0.3804356346326944,1.3720036877999398,0.8109316227827967,1,8.646921283070961,0.17,High,0.39,1
30,0.27,81.19959243899766,10,0.05149048655189403,0.5010531308012359,0.20877560625941838,0,7.279251045373217,0.07,Low,0.13,1
62,5.42,99.6969991673165,0,0.08503579905983862,0.290450456007219,0.12867118956773194,0,8.291954950433142,0.33,High,0.33,0
75,4.04,68.04152107713514,11,0.30754541086249615,0.2855255349020851,0.4025602189155344,0,6.280739145565655,0.21,High,0.43,1
62,0.53,83.42076208556846,5,0.20422396288490866,1.4644575137541933,0.45102523404997563,0,9.157722172579787,0.23,Low,0.13,0
1,3.01,69.70554699958937,3,0.27885235636580435,0.2722807683492727,0.45433742499613405,1,4.502239057355564,0.3,High,0.46,0
27,1.88,65.9160054018086,14,0.3810461421763155,0.5851663228049895,0.24141299812274086,0,5.400120633828085,0.38,Medium,0.32,1
62,7.07,64.61833681359491,2,0.09600422169683806,0.1946701457115769,0.5256272157276425,1,8.767618898041478,0.04,High,0.74,0
77,0.94,70.27748097590185,3,0.5358520438146047,1.1296619379807493,-0.711768832514224,0,9.728075533458382,0.34,Low,0.23,0
3,2.29,62.0137397119225,5,0.33568803878774406,0.9354523061073756,0.6429474847994872,0,9.078674318343227,0.19,Medium,0.37,0
70,0.13,84.92639930930847,4,0.013255965318771356,0.8469964772726378,-0.37913517732308355,1,5.385162374218958,0.26,Low,0.2,0
72,1.01,92.456321595491,1,0.37707170504031656,1.298176481422426,0.7713754985807388,0,6.091231208739113,0.34,Low,0.11,0
27,6.64,92.97311839871105,14,0.2779073590644308,0.9026714809428921,-0.7363475065699099,0,8.59297700377967,0.13,High,0.44,1
9,1.55,53.66192280554955,1,0.42098346688551375,1.4377433022968982,-0.9927937888984029,1,9.677631732895827,0.35,High,0.47,0
62,0.68,93.75454832388945,2,0.4704201737625268,0.9718921226767302,-0.9686547564958157,1,5.735483881545827,0.25,Low,0.18,0
37,0.26,60.493073911306304,10,0.5633069120339574,0.5960765623329684,-0.579680189732181,1,6.318052634369696,0.11,Low,0.35,1
51,2.43,58.55845992911786,5,0.5990074765649998,0.1514456340047537,-0.7724507518700099,1,4.137235017026987,0.37,High,0.49,0
44,2.07,83.60536344389416,11,0.3297701960828561,1.1153858487954766,0.10782560337429703,1,7.026411196791996,0.02,Medium,0.32,1
24,0.94,58.281780405177365,13,0.33690501187705474,0.6231032313015591,-0.1031717303072659,1,4.528970422380638,0.24,High,0.41,1
79,6.03,43.177984336582604,0,0.01346715058536374,0.938883051170826,0.21210553006876465,1,4.513557605470742,0.01,High,0.8,0
59,0.04,62.41706633861848,10,0.5191022840917984,1.3268874981959624,-0.6146858568514075,1,8.567896817710077,0.03,Low,0.33,1
32,0.72,83.28793602150094,6,0.017230796125512614,0.11072152274063599,0.5076780232604716,1,6.063519411297819,0.04,Low,0.24,0
52,5.08,59.61750521621059,7,0.3795988842006252,1.1634574407416034,0.220937869259916,1,9.613838521913792,0.36,High,0.65,0
62,0.77,77.77354335970878,6,0.059146187246537994,0.7093986851585489,-0.55761139548688,1,8.296501430927572,0.22,Low,0.28,0
58,0.58,79.60716665578782,10,0.17150316246387387,0.27368422939036174,-0.2021500407763972,0,5.768573436596055,0.1,Low,0.16,1
52,1.53,84.02416070358137,2,0.08419773186643528,0.9154408348149881,0.4364109479511189,0,8.091292122848433,0.16,Medium,0.19,0
12,3.47,93.82782797865619,5,0.08243657286752464,0.8456608930126619,0.36074134681745873,1,9.193599023105275,0.34,High,0.35,0
39,0.22,65.95386995610589,14,0.04476058939015828,1.2792312533998333,0.12467669730426989,0,6.616222768302506,0.23,Low,0.22,1
2,5.73,49.98592459974742,13,0.19072918919130213,0.8301878403413313,0.9580358350045086,1,7.3706300886037575,0.01,High,0.74,1
3,3.17,59.13554292591336,3,0.2541908066716762,1.2582926180952383,-0.7363548069055921,1,5.304930350060141,0.35,High,0.54,0
56,0.4,65.93003531043915,4,0.2786839156992951,0.8622849447193173,-0.023441890543794974,1,6.413252211321147,0.22,Low,0.33,0
59,2.49,82.8334881596868,2,0.2638248236802644,0.7257238166844151,0.24806958415100766,0,7.474296094678449,0.08,Medium,0.25,0
2,0.97,40.78732753369801,4,0.3142152205771665,0.6196574609263465,0.9880518919327388,1,7.692869792393991,0.29,High,0.51,0
2,1.03,58.94712300639274,5,0.5158721575121645,0.34317641348701233,0.08518098905811056,0,8.320206365117768,0.21,High,0.31,0
54,3.06,86.79055486115901,7,0.37907796942370503,0.9176432326203824,-0.11525910867243438,1,9.74411913624008,0.08,High,0.36,0
1,6.58,80.25146219984173,11,0.010371402581887689,0.8619503997199661,0.8445837009888926,0,9.031224215005464,0.26,High,0.51,1
19,0.27,83.90439841513631,5,0.1037713669441912,1.4660355122372932,0.01276608101197585,0,9.109523393662007,0.26,Low,0.11,0
2,1.09,88.70864616635168,8,0.2093698932892877,0.6773723210662622,0.8784551752305882,1,7.345072163178594,0.38,Low,0.23,1
53,1.31,86.99414313267773,14,0.5694262253189261,0.6901325683326178,0.5008185263645346,0,4.865041025138377,0.11,Low,0.16,1
44,0.94,80.93098996916669,9,0.04684763846995499,0.3294199389570327,-0.6642205131478798,0,7.812952127488278,0.22,Low,0.17,1
32,0.9,66.37969194223544,9,0.42607155744268893,0.9366001764430222,-0.6650686713075262,1,6.437549840173414,0.13,Low,0.36,1
70,0.11,99.01589973268923,13,0.01985587904692383,1.2869931766519769,-0.36405246300739935,0,4.191044861629356,0.12,Low,0.01,1
32,2.31,74.14439173540443,9,0.21752230140117945,0.4470924304185897,-0.8646679725772435,0,5.169122304006106,0.2,Medium,0.29,1
68,1.15,52.16615256213035,9,0.462089258228246,0.11270906090331619,0.08508169874402371,0,8.554446317701824,0.29,High,0.36,1
55,0.43,57.56877130628706,3,0.20635760186301152,1.0680630726841955,0.7194847007551839,0,7.78603112583539,0.24,High,0.28,0
75,3.39,81.6137473582282,1,0.2581692359918794,0.14392330831251066,-0.19995074306627147,1,9.870589226524704,0.05,High,0.41,0
56,3.24,95.48437391196782,11,0.5431827169604575,0.6729868190480225,0.29663327765532976,0,9.540673827683085,0.37,High,0.22,1
17,1.33,50.72320775235385,8,0.03970145479157883,0.9577944728150471,0.9629646162465502,0,7.565556395009747,0.28,High,0.38,1
38,0.71,44.94078974474718,10,0.3165973951260607,0.6404164040025783,-0.6125313182523102,1,4.929648721171283,0.23,High,0.47,1
24,2.03,92.89186288252037,2,0.219742535154707,0.4648095026568191,-0.2838684073239517,0,6.018074654327219,0.06,Medium,0.16,0
69,0.68,94.91667873477006,10,0.5782870029102185,1.2189731111335413,-0.9500204008033177,0,5.3980641621019,0.05,Low,0.07,1
70,0.54,56.58276071895396,6,0.47621389765095473,0.5213064773397973,-0.5362120173643339,0,6.823097713681337,0.12,High,0.29,0
11,2.62,62.637143462274395,3,0.07324606641992326,0.35206551065438174,0.5588389884166964,1,8.803440620901199,0.37,Medium,0.48,0
16,0.08,79.6112798498715,11,0.5564458540335432,0.6437553870053504,0.3131804514621055,1,8.931090393319948,0.06,Low,0.23,1
73,0.2,59.79580125054849,11,0.12672797847226122,0.284330860176344,0.5676166109541456,0,5.068394311136299,0.26,High,0.25,1
59,0.01,92.62952249620318,0,0.050890586120892076,1.0665557691884298,-0.1493729534899817,1,7.294526055791188,0.26,Low,0.14,0
70,0.33,46.454722162831764,7,0.3249559678766954,1.0941125817040185,0.471267037044967,1,8.060395852489098,0.04,High,0.44,0
80,0.14,42.27893325761171,12,0.44197894198576754,0.12069003037844882,0.19911417243732776,0,6.379789676806224,0.28,High,0.35,1
3,10.95,52.509172404567366,11,0.4296305336977272,1.0728130895622205,-0.3431634030365458,0,9.43261966110358,0.19,High,0.94,1
20,0.68,57.16526669229814,3,0.32043364132643776,0.5185822753746656,-0.17519252460869827,1,6.154114479181866,0.2,High,0.4,0
59,0.32,46.7755954773325,10,0.2956424846518216,1.018685031439589,0.08266094554909031,0,6.940808785468268,0.0,High,0.34,1
36,0.55,43.941425760438804,5,0.5817263383818915,1.0890776502730948,0.9128695800464439,1,7.521014933005354,0.36,High,0.47,0
